City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,papatowai,-46.5619,169.4708,15.17,56,100,3.41,NZ,1707687938
1,grytviken,-54.2811,-36.5092,3.59,94,97,7.17,GS,1707687938
2,mercedes,-34.6515,-59.4307,32.66,51,92,2.14,AR,1707687939
3,longyearbyen,78.2186,15.6401,-6.09,73,75,6.69,SJ,1707687875
4,chibougamau,49.9168,-74.3659,-8.21,79,100,2.57,CA,1707687939
5,carnarvon,-24.8667,113.6333,25.32,73,0,7.43,AU,1707687939
6,st. john's,47.5649,-52.7093,2.66,89,100,2.06,CA,1707687917
7,puerto natales,-51.7236,-72.4875,9.25,66,75,10.29,CL,1707687940
8,chikhli,20.35,76.25,20.52,35,6,2.2,IN,1707687940
9,hawaiian paradise park,19.5933,-154.9731,25.57,86,100,3.09,US,1707687875
10,ilulissat,69.2167,-51.1,-16.99,71,100,4.12,GL,1707687940
11,kodiak,57.79,-152.4072,0.73,93,40,1.54,US,1707687940
12,georgetown,5.4112,100.3354,26.96,72,20,5.66,MY,1707687910
13,hithadhoo,-0.6,73.0833,27.33,77,31,3.86,MV,1707687941
14,guillena,37.5426,-6.0563,12.35,98,100,1.03,ES,1707687941
15,vikulovo,56.8167,70.6107,-21.81,97,99,3.4,RU,1707687941
16,northam,51.0333,-4.2167,7.59,89,80,3.89,GB,1707687941
17,golub-dobrzyn,53.1109,19.0538,8.07,98,100,4.07,PL,1707687942
18,albany,42.6001,-73.9662,4.48,69,88,1.79,US,1707687796
19,urambo,-5.0667,32.05,19.47,94,99,1.16,TZ,1707687942
20,ushuaia,-54.8,-68.3,8.81,71,75,11.32,AR,1707687673
21,khash,28.2211,61.2158,10.74,49,100,1.76,IR,1707687907
22,al mutayrifi,25.4788,49.5576,15.19,83,88,1.46,SA,1707687943
23,ribeira grande,38.5167,-28.7,17.65,88,40,12.07,PT,1707687943
24,mushabani,22.5167,86.45,19.31,31,37,0.87,IN,1707687943
25,tofol,5.3248,163.0078,27.74,75,86,9.7,FM,1707687944
26,altai,46.3722,96.2583,-5.0,51,68,9.51,MN,1707687944
27,atarra,25.2833,80.5667,12.95,45,0,2.39,IN,1707687944
28,langsa,4.4683,97.9683,22.96,86,23,1.35,ID,1707687944
29,adamstown,-25.066,-130.1015,25.0,89,43,9.62,PN,1707687944
30,klyuchi,52.2667,79.1667,-13.25,88,75,7.01,RU,1707687945
31,weno,7.4515,151.8468,27.97,78,75,4.12,FM,1707687945
32,souillac,-20.5167,57.5167,26.3,94,75,1.54,MU,1707687945
